asOfDate,ticker,oneDayYield,sevenDayYield,thirtyDayYield
"2026-01-07","CPFXX",,0.0334,
"2026-01-07","FFTXX",,0.0165,
"2026-01-07","FGTXX",,0.0366,
"2026-01-07","FMJXX",,0.0378,
"2026-01-07","FTFXX",,0.017,
"2026-01-07","FTIXX",,0.0358,
"2026-01-07","FTXXX",,0.0223,
"2026-01-07","GABXX",,0.0372,
"2026-01-07","GOFXX",,0.0366,
"2026-01-07","GOIXX",,0.0362,
"2026-01-07","GOTXX",,0.0358,
"2026-01-07","GOVXX",,0.0366,
"2026-01-07","HTSXX",,0.0322,
"2026-01-07","MSUXX",,0.0357,
"2026-01-07","PCOXX",,0.0374,
"2026-01-07","POIXX",,0.0377,
"2026-01-07","TOIXX",,0.0361,
"2026-01-07","UTIXX",,0.0356,
"2026-01-07","WMPXX",,0.038,
"2026-01-07","WOTXX",,0.0358,
