asOfDate, cusip, securitytype, rate, maturitydate, calldate, buy, sell, endofdate, key
"2024-11-19","912797LQ8","MARKET BASED BILL","0.00000","2024-12-19","","99.627500","99.626667",,"2024-12-19-0.00000"
"2024-11-20","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.639111","99.637500",,"2024-12-18-0.00000"
"2024-11-21","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.650778","99.650000",,"2024-12-18-0.00000"
"2024-11-22","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.661750","99.661000",,"2024-12-18-0.00000"
"2024-11-25","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.698667","99.698000",,"2024-12-18-0.00000"
"2024-11-26","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.709944","99.709306",,"2024-12-18-0.00000"
"2024-11-27","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.721944","99.721333",,"2024-12-18-0.00000"
"2024-11-29","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.747222","99.746667",,"2024-12-18-0.00000"
"2024-12-02","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.786319","99.785611",,"2024-12-18-0.00000"
"2024-12-03","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.802222","99.801778",,"2024-12-18-0.00000"
"2024-12-04","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.815625","99.815417",,"2024-12-18-0.00000"
"2024-12-05","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.827333","99.826944",,"2024-12-18-0.00000"
"2024-12-06","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.840208","99.839667",,"2024-12-18-0.00000"
"2024-12-09","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.876667","99.876389",,"2024-12-18-0.00000"
"2024-12-10","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.889750","99.889500",,"2024-12-18-0.00000"
"2024-12-11","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.901889","99.901556",,"2024-12-18-0.00000"
"2024-12-12","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","99.914347","99.914056",,"2024-12-18-0.00000"
"2024-12-13","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","0.000000","99.925500",,"2024-12-18-0.00000"
"2024-12-16","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","0.000000","99.962417",,"2024-12-18-0.00000"
"2024-12-17","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","0.000000","99.974722",,"2024-12-18-0.00000"
"2024-12-18","912797LQ8","MARKET BASED BILL","0.00000","2024-12-18","","0.000000","99.987389",,"2024-12-18-0.00000"
